id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1MAqR81Tz28IIqMJ2KUDAO,0.765,0.29,-17.117,0.139,0.0279,1.02e-06,0.571,0.506,92.409,298773
2EZgq8tPN7WYZ875cy23YU,0.908,0.686,-15.841,0.0918,0.166,0.0,0.645,0.796,114.6,230107
2wGSgTmgSF3xjRrHkTc25R,0.802,0.785,-4.781,0.207,0.14,0.0,0.123,0.435,99.998,206400
2OKxNaK8xCBqWZ61OwIw0d,0.636,0.66,-6.77,0.0581,0.0524,0.0,0.545,0.475,79.957,240467
5q6pg1kvXfT7z5MqG0KKSs,0.867,0.554,-13.634,0.249,0.161,0.0103,0.111,0.766,96.668,252067
4Wu99vte4OW3m0GTx3fyUE,0.704,0.838,-5.065,0.32,0.00605,5.03e-06,0.0411,0.938,94.49,237467
7Iye7z8lrOT4lKM7RxwX5A,0.259,0.883,-5.067,0.137,0.0047,0.0,0.172,0.163,176.102,255293
51by6tqpmWSqNwkRyJFg2B,0.591,0.766,-5.834,0.185,0.015,0.0,0.107,0.722,89.949,259813
0vyULMBhaXQuPW1DtbahvR,0.545,0.884,-4.807,0.367,0.29,0.0,0.37,0.641,86.049,277653
69WWLAtHgjs5PI2iTM77TX,0.632,0.841,-5.154,0.228,0.00289,0.0,0.168,0.736,91.926,182747
4EOpol0K5u620R2OLfoJ1B,0.774,0.634,-5.941,0.167,0.0199,2.98e-05,0.29,0.752,125.223,304507
4Li2WHPkuyCdtmokzW2007,0.789,0.858,-5.542,0.311,0.127,0.0,0.349,0.775,140.022,219333
7esMRbSzvLv60O70XLZFbc,0.657,0.524,-4.907,0.061,0.0462,0.0,0.322,0.0383,140.021,275733
1CmUZGtH29Kx36C1Hleqlz,0.781,0.526,-6.985,0.293,0.0619,0.0,0.0457,0.662,94.992,235613
5DsZVnFfwpys1SbObz1yUF,0.569,0.572,-5.893,0.0527,0.302,0.0,0.172,0.423,87.985,280787
5YpZh8wfS4moRBk0ijNcXr,0.484,0.852,-4.442,0.274,0.0317,0.0,0.0547,0.766,103.578,249522
1kSjxlCdBoN00grWg39YRJ,0.776,0.941,-1.931,0.223,0.00572,2.61e-06,0.292,0.446,105.98,277573
